date,series_id,tree_id,tree_name,site,tree_genus_species_original,tree_genus_species,TWD_mean,TWD_median,TWD_min,TWD_max,n_obs,n_excluded,qc_flag
2025-04-02,1892,922,Fichte3_P2,P2,Abies alba,Abies alba,73.60306171527778,73.7069875,44.882365,107.386045,144,0,Valid
2025-04-02,1893,923,Buche1_P2,P2,Fagus sylvatica,Fagus sylvatica,27.56236534027778,28.267615,16.061726,32.988886,144,0,Valid
2025-04-02,1894,924,Buche2_P2,P2,Fagus sylvatica,Fagus sylvatica,64.77199951388889,64.3173725,47.357021,79.532103,144,0,Valid
2025-04-02,1895,925,Buche3_P2,P2,Fagus sylvatica,Fagus sylvatica,42.559477208333334,43.398742999999996,30.865017,49.427337,144,0,Valid
2025-04-02,1896,926,Buche1_P3,P3,Fagus sylvatica,Fagus sylvatica,43.166538083333336,44.239627999999996,33.684561,50.694451,144,0,Valid
2025-04-02,1897,927,Buche2_P3,P3,Fagus sylvatica,Fagus sylvatica,15.772396993055555,17.390397,9.898289,18.503008,144,0,Valid
2025-04-02,1898,928,Buche3_P3,P3,Fagus sylvatica,Fagus sylvatica,38.5507250625,37.1441605,27.229352,53.365235,144,0,Valid
2025-04-02,1899,929,Fichte1_P3,P3,Fagus sylvatica,Abies alba,34.59810090277778,34.0130935,24.121102,42.934846,144,0,Valid
2025-04-02,1900,930,Fichte2_P3,P3,Fagus sylvatica,Abies alba,62.56951825,63.207603,43.417277,79.847327,144,0,Valid
2025-04-02,1901,931,Fichte3_P3,P3,Fagus sylvatica,Abies alba,17.08076934027778,16.830164500000002,5.270654,28.420021,144,0,Valid
2025-04-03,1878,908,Buche1_P1,P1,Fagus sylvatica,Fagus sylvatica,22.11749295138889,21.751053,6.944767,33.324948,144,0,Valid
2025-04-03,1879,909,Buche2_P1,P1,Fagus sylvatica,Fagus sylvatica,32.826990145833335,32.796389,19.880623,40.905727,144,0,Valid
2025-04-03,1880,910,Buche3_P1,P1,Fagus sylvatica,Fagus sylvatica,38.28236972916667,38.670162500000004,22.737715,51.591577,144,0,Valid
2025-04-03,1881,911,Fichte1_P1,P1,Abies alba,Abies alba,138.4669084375,117.957824,42.06892,262.464828,144,0,Valid
2025-04-03,1882,912,Fichte2_P1,P1,Abies alba,Abies alba,131.67231829861112,80.9905605,13.522311,327.009567,144,0,Valid
2025-04-03,1883,913,Fichte3_P1,P1,Abies alba,Abies alba,87.50785659722222,59.5010985,3.106253,208.856187,144,0,Valid
2025-04-03,1884,914,Fichte1_G1,G1,Abies alba,Abies alba,120.40203543055556,86.41700449999999,35.615009,254.253778,144,0,Valid
2025-04-03,1885,915,Fichte2_G1,G1,Abies alba,Abies alba,184.54288476388888,168.6732215,81.70939,304.608184,144,0,Valid
2025-04-03,1886,916,Fichte3_G1,G1,Abies alba,Abies alba,12.722855270833334,12.040131,2.64284,21.846584,144,0,Valid
2025-04-03,1887,917,Buche1_G1,G1,Fagus sylvatica,Fagus sylvatica,48.48804084722222,45.077079499999996,25.677034,70.315939,144,0,Valid
2025-04-03,1888,918,Buche2_G1,G1,Fagus sylvatica,Fagus sylvatica,34.49708051388889,34.829625,15.244593,47.467096,144,0,Valid
2025-04-03,1889,919,Buche3_G1,G1,Fagus sylvatica,Fagus sylvatica,36.27758864583333,33.8434025,17.756077,53.219205,144,0,Valid
2025-04-03,1890,920,Fichte1_P2,P2,Abies alba,Abies alba,29.594478555555554,22.141614,0,64.954121,144,0,Valid
2025-04-03,1891,921,Fichte2_P2,P2,Abies alba,Abies alba,29.395895965277777,16.8108325,0,72.852541,144,0,Valid
2025-04-03,1892,922,Fichte3_P2,P2,Abies alba,Abies alba,63.020889,56.75936900000001,10.715633,115.267045,144,0,Valid
2025-04-03,1893,923,Buche1_P2,P2,Fagus sylvatica,Fagus sylvatica,27.533873805555555,28.020252,11.72277,38.894828,144,0,Valid
2025-04-03,1894,924,Buche2_P2,P2,Fagus sylvatica,Fagus sylvatica,65.81429440972222,62.5149065,37.72879,90.915749,144,0,Valid
2025-04-03,1895,925,Buche3_P2,P2,Fagus sylvatica,Fagus sylvatica,44.18215114583333,42.5397625,31.184338,58.094984,144,0,Valid
2025-04-03,1896,926,Buche1_P3,P3,Fagus sylvatica,Fagus sylvatica,42.840622680555555,40.9268055,25.236159,58.668368,144,0,Valid
2025-04-03,1897,927,Buche2_P3,P3,Fagus sylvatica,Fagus sylvatica,15.99960757638889,17.947598,7.913495,19.468603,144,0,Valid
2025-04-03,1898,928,Buche3_P3,P3,Fagus sylvatica,Fagus sylvatica,41.05136084027778,36.481049999999996,25.023925,62.066228,144,0,Valid
2025-04-03,1899,929,Fichte1_P3,P3,Fagus sylvatica,Abies alba,23.8631125,22.850885,1.281002,47.50175,144,0,Valid
2025-04-03,1900,930,Fichte2_P3,P3,Fagus sylvatica,Abies alba,60.83904381944444,55.132069,31.218754,92.975001,144,0,Valid
2025-04-03,1901,931,Fichte3_P3,P3,Fagus sylvatica,Abies alba,17.257733368055554,12.956692,0,39.896414,144,0,Valid
2025-04-04,1878,908,Buche1_P1,P1,Fagus sylvatica,Fagus sylvatica,23.74669720138889,23.904705999999997,9.681527,33.837751,144,0,Valid
2025-04-04,1879,909,Buche2_P1,P1,Fagus sylvatica,Fagus sylvatica,37.79584451388889,38.315512999999996,26.006844,44.727905,144,0,Valid
2025-04-04,1880,910,Buche3_P1,P1,Fagus sylvatica,Fagus sylvatica,41.97938506944445,41.569418999999996,29.706474,54.192214,144,0,Valid
2025-04-04,1881,911,Fichte1_P1,P1,Abies alba,Abies alba,150.18796231944444,147.109336,55.957007,261.641247,144,0,Valid
2025-04-04,1882,912,Fichte2_P1,P1,Abies alba,Abies alba,139.57355684722222,113.2424665,16.205569,318.430049,144,0,Valid
